frame,left_knee,right_knee,left_hip,right_hip,left_elbow,right_elbow,left_shoulder,right_shoulder
402,173.98,131.18,171.84,137.85,91.88,157.29,2.18,0.09
403,172.44,140.12,169.89,141.55,89.73,88.39,1.54,0.02
404,168.81,147.09,169.67,142.54,82.72,90.53,2.03,1.04
405,160.68,151.28,171.09,143.19,76.56,104.01,9.56,0.78
406,152.34,158.88,172.1,146.45,104.66,124.57,5.11,1.98
407,137.22,162.86,174.44,149.59,104.36,145.0,12.19,3.2
408,113.24,163.3,176.43,151.6,141.82,160.69,5.78,6.7
409,97.32,159.69,177.58,152.7,144.69,158.73,7.44,5.8
410,84.96,154.97,179.06,153.75,149.48,162.79,10.14,4.96
411,79.75,154.15,176.49,156.84,150.98,158.4,14.85,3.69
412,78.61,153.25,171.76,160.2,149.53,148.21,19.92,2.13
413,74.3,155.31,162.89,162.96,146.01,132.71,25.14,0.58
414,84.23,156.61,160.84,164.53,142.99,123.13,30.81,4.29
415,101.79,158.76,155.66,164.81,134.84,94.09,40.17,11.69
416,112.77,158.32,150.36,162.72,131.1,63.3,45.58,19.27
417,121.78,161.29,147.72,170.2,128.48,44.46,49.86,24.44
418,129.11,164.92,146.6,173.58,127.72,35.27,52.59,29.01
419,139.21,167.04,149.34,175.44,127.17,31.73,55.03,30.72
420,145.87,168.74,150.74,178.54,126.93,28.71,55.84,30.15
421,153.25,163.6,152.89,179.12,127.54,29.22,54.88,27.67
422,159.35,153.5,156.48,178.99,128.23,34.09,53.69,24.6
423,161.83,143.32,157.77,179.53,129.91,36.87,51.89,22.03
424,163.32,125.12,160.27,178.94,130.27,78.43,47.19,15.31
425,162.63,102.27,160.64,179.36,133.1,128.02,40.55,11.66
426,159.69,83.09,159.95,176.98,136.67,140.8,33.56,6.78
427,157.89,71.45,160.24,173.48,136.0,150.66,29.22,5.38
428,156.71,63.94,162.35,170.27,137.12,155.88,22.6,2.97
429,154.34,67.13,164.13,169.62,130.25,161.64,17.33,0.27
430,157.01,65.09,167.51,160.78,129.31,167.47,11.88,1.63
431,160.83,65.82,170.66,155.63,122.36,159.93,8.04,2.65
432,164.63,83.88,174.68,147.53,103.52,114.02,3.8,0.95
433,166.45,101.74,178.29,140.75,95.3,85.8,1.77,0.6
434,168.81,114.98,178.02,138.94,87.89,73.35,0.53,1.28
435,170.67,126.36,174.8,140.39,76.0,64.39,0.23,2.65
436,172.52,135.29,173.14,142.09,89.08,77.69,1.85,2.19
437,170.64,143.45,172.36,143.99,100.52,97.67,1.67,2.53
438,164.78,150.78,172.38,145.31,107.38,108.15,0.92,3.02
439,157.76,158.35,173.18,148.28,106.13,125.55,1.9,0.16
440,149.41,162.68,173.16,149.77,134.7,152.48,0.01,0.46
441,129.63,164.0,176.21,151.41,131.04,153.97,4.78,0.38
442,108.6,162.14,178.08,152.06,142.22,156.83,2.75,2.71
443,91.27,158.81,178.64,152.64,148.72,165.02,2.92,3.03
444,79.61,157.17,174.47,154.08,147.89,163.71,5.5,3.76
445,77.16,154.38,172.8,156.52,153.59,154.33,9.29,1.78
446,72.66,152.48,165.14,158.93,151.89,148.58,15.21,1.38
447,75.64,155.57,162.61,163.43,147.99,133.65,21.58,1.83
448,84.92,154.25,156.06,163.18,139.69,114.44,29.49,4.22
449,102.61,161.15,152.8,168.42,132.95,82.1,40.18,9.53
450,114.3,162.12,148.19,171.68,127.28,59.51,48.91,13.67
451,121.49,164.65,144.64,174.8,124.12,41.57,55.15,20.72
452,130.76,167.43,145.04,177.7,123.59,35.04,59.71,23.13
453,140.07,166.88,148.82,179.68,124.2,33.7,62.27,23.72
454,147.37,168.22,150.07,178.27,126.03,36.86,61.25,21.9
455,152.78,163.44,151.7,176.01,126.48,44.75,60.55,18.56
456,159.03,154.43,155.15,175.41,126.69,63.65,59.12,15.16
457,162.66,138.28,157.64,174.51,131.17,119.67,53.92,13.44
458,165.05,116.02,159.37,177.26,134.16,143.34,46.82,12.24
459,163.39,92.91,159.86,178.21,137.36,152.63,38.63,9.93
460,161.17,76.25,159.42,177.33,138.72,155.86,31.78,8.84
461,159.91,65.87,159.52,171.38,139.74,159.59,25.2,6.96
462,157.79,63.23,162.48,169.69,136.27,162.34,19.77,3.81
463,155.77,66.04,163.95,165.2,133.54,169.32,13.62,1.46
464,159.45,64.38,167.65,157.72,132.68,160.46,9.47,2.55
465,165.37,69.72,172.78,153.02,125.61,153.6,4.72,1.99
466,167.36,97.54,175.58,146.06,108.41,114.09,0.66,0.01
467,171.37,113.28,179.86,142.06,103.72,112.92,3.49,0.36
468,170.94,123.23,177.67,140.53,96.8,169.74,4.73,1.49
469,172.81,131.38,174.86,141.8,78.45,178.07,4.08,1.9
470,173.41,139.27,172.79,143.49,79.42,134.39,5.58,1.31
471,169.7,146.48,172.0,144.77,93.43,73.19,3.23,0.05
472,163.51,153.49,171.68,147.07,80.19,90.31,0.25,0.23
473,153.14,157.67,173.52,149.18,96.35,97.61,1.34,0.67
474,137.7,160.85,175.77,151.27,57.54,100.68,9.12,0.35
475,116.3,164.96,177.48,155.03,137.56,129.52,3.47,2.93
476,97.02,166.09,177.42,157.17,134.48,143.44,7.13,4.79
477,81.98,161.22,179.05,157.31,136.79,156.13,8.91,6.42
478,73.09,157.53,178.37,157.65,140.31,160.34,12.06,6.33
479,74.68,155.34,174.84,159.74,145.92,158.26,14.36,1.94
480,76.43,159.11,167.81,164.19,141.19,146.99,21.34,2.01
481,77.24,161.57,166.45,167.49,134.82,139.86,30.64,4.54
482,90.26,163.27,158.91,167.98,131.75,114.47,34.8,8.44
483,106.84,170.58,154.35,171.86,127.04,78.78,42.33,12.41
484,116.92,168.74,150.09,173.01,126.92,52.98,45.42,19.36
